Sampling rate 50 Hz,,,,,
Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 3,Mouse 3
Run1,Run1,Run1,Run1,Run1,Run1
"5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion"
465nm,405nm,465nm,405nm,465nm,405nm
1.6024138,1.1492519,1.3884348,1.2436901,1.3895482,1.1305262
1.595126,1.1680788,1.3884348,1.2455121,1.3857018,1.1312348
1.5895588,1.1600825,1.3837786,1.2488524,1.3987591,1.1402433
1.5932028,1.1631191,1.395925,1.2471316,1.3928884,1.1357896
1.5837893,1.1568434,1.3989617,1.2375157,1.3909652,1.1105858
1.5974541,1.1538068,1.3984555,1.2584683,1.3861067,1.131842
1.5849028,1.1584629,1.3927872,1.251484,1.4025043,1.1266798
1.6059566,1.1516812,1.3923823,1.2425767,1.3900542,1.1223273
1.594215,1.1481384,1.3992653,1.250978,1.3943055,1.1168615
1.5971503,1.1630177,1.3929896,1.2485487,1.4045287,1.127692
1.5966443,1.155325,1.3910664,1.2557353,1.4034153,1.1316396
1.5928991,1.1675727,1.3863091,1.249156,1.4039214,1.1217201
1.5925955,1.1762776,1.3961275,1.2505732,1.3967348,1.1213151
1.6071712,1.1545153,1.3915726,1.2492572,1.4056422,1.1246554
1.601098,1.1609935,1.3971397,1.2508768,1.4169788,1.1258701
1.5898626,1.1706094,1.3840823,1.2536097,1.4050348,1.1265786
1.5826759,1.1712166,1.3994677,1.2499658,1.4216349,1.1347774
1.5881418,1.1607909,1.3930908,1.2536097,1.3945079,1.1407495
1.6020089,1.1635239,1.3962287,1.2457145,1.4150556,1.1133188
1.5936077,1.1753666,1.4007835,1.247739,1.4062494,1.1332592
1.5959357,1.1370043,1.3985567,1.2465243,1.3978482,1.1250603
1.6015029,1.1659532,1.3947104,1.2606951,1.3985567,1.1314372
1.6071712,1.1639287,1.3982531,1.2470304,1.3900542,1.1216189
1.6089932,1.1517824,1.3997713,1.2583671,1.3934958,1.1386238
1.6104102,1.1703056,1.3916738,1.2615049,1.4026055,1.1342713
1.603426,1.1547178,1.4035165,1.248245,1.4072616,1.1250603
1.5810564,1.1624105,1.387625,1.2493584,1.3978482,1.1410531
1.6083858,1.1704068,1.3942043,1.2574561,1.4029092,1.1229347
1.5919882,1.1638275,1.4022007,1.2543182,1.4090836,1.1177725
1.6017053,1.1448994,1.4017957,1.2485487,1.3993665,1.1229347
1.6007943,1.1596775,1.3920786,1.2475365,1.4177885,1.1299188
1.6038309,1.158969,1.3943055,1.2508768,1.3898518,1.1428751
1.6146615,1.1558312,1.4006823,1.2532048,1.3971397,1.1421665
