Sampling rate 20 Hz,,,,,,,,,
,Mouse 1,Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 2,Mouse 3,Mouse 3,Mouse 3
,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
,"10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF"
Time,465nm,405nm,Stim,465nm,405nm,Stim,465nm,405nm,Stim
150,1.7606207,1.6323749,FALSE,1.8146721,1.3604981,FALSE,1.7139583,1.5427952,FALSE
151,1.7564707,1.6435091,FALSE,1.8156843,1.3476431,FALSE,1.7227644,1.5423903,FALSE
152,1.7655804,1.6329823,FALSE,1.8074856,1.3592833,FALSE,1.7241815,1.5329769,FALSE
153,1.7663902,1.6542385,FALSE,1.8331954,1.3675834,FALSE,1.7332913,1.5277134,FALSE
154,1.763961,1.6488738,FALSE,1.8264136,1.3474406,FALSE,1.7275218,1.5497794,FALSE
155,1.7692244,1.6385493,FALSE,1.8226686,1.353615,FALSE,1.7242827,1.5375319,FALSE
156,1.7602158,1.6260993,FALSE,1.8337015,1.3476431,FALSE,1.7346071,1.5462368,FALSE
157,1.7590011,1.6371323,FALSE,1.8230734,1.3449101,FALSE,1.7402755,1.5234622,FALSE
158,1.7596085,1.6329823,FALSE,1.8377503,1.3564492,FALSE,1.72489,1.5356086,FALSE
159,1.7655804,1.632881,FALSE,1.8057648,1.3402541,FALSE,1.7221571,1.5266,FALSE
160,1.7687182,1.6338933,FALSE,1.827527,1.3637371,FALSE,1.7419962,1.534394,FALSE
161,1.7783341,1.6440152,FALSE,1.821049,1.3380272,FALSE,1.747867,1.5287256,FALSE
162,1.7536365,1.63197,FALSE,1.8136599,1.3553358,FALSE,1.7479682,1.5402647,FALSE
163,1.7592036,1.6174957,FALSE,1.8258064,1.3592833,FALSE,1.7219546,1.5464392,FALSE
164,1.7715524,1.6267066,FALSE,1.8223649,1.3553358,FALSE,1.7456402,1.5440099,FALSE
165,1.7748927,1.6174957,FALSE,1.8264136,1.3576639,FALSE,1.7151729,1.5380379,FALSE
166,1.7719573,1.6385493,FALSE,1.8370417,1.368798,FALSE,1.7327852,1.525183,FALSE
167,1.7692244,1.6358165,FALSE,1.8328917,1.3648505,FALSE,1.7227644,1.5363171,FALSE
168,1.7673012,1.6342981,FALSE,1.8096112,1.3464284,FALSE,1.7467536,1.5174903,FALSE
169,1.7793463,1.642497,FALSE,1.8167977,1.3571577,FALSE,1.730862,1.5344952,FALSE
170,1.7687182,1.6509994,FALSE,1.8142673,1.3488578,FALSE,1.7217522,1.5217415,FALSE
171,1.7642646,1.6490762,FALSE,1.8146721,1.3645468,FALSE,1.7353157,1.5470464,FALSE
172,1.7546487,1.6234676,FALSE,1.8268186,1.352704,FALSE,1.7168937,1.5255878,FALSE
173,1.7716537,1.6387517,FALSE,1.8332967,1.3591821,FALSE,1.72904,1.5490708,FALSE
174,1.7628475,1.6290346,FALSE,1.8144697,1.3386345,FALSE,1.7356193,1.5502856,FALSE
